,id,name,lat,lon,bikes,fs_parks,yelp_parks
68,bfa44ca6c3c167b3a804a93fc1f0ce36,Pharmacy Ave / Danforth Ave,43.6929478,-79.2833998,4,10,2
69,719e676d739529c8d5da8bb89c5c8678,Danforth Ave / Warden Ave,43.6950192,-79.2718066,12,9,1
70,4458cd04d9fb8c770ac4bae9d9db2d63,Eglinton Ave W / Gilbert Ave,43.6926325,-79.4627536,9,7,1
71,f01ce5efb5e67f30b96994096ac1d300,Sharpe St / Park St (Sandown Park),43.7105975,-79.2541175,11,10,1
72,237e73b6b68d9b4f9ce8dded10a8863b,Eglinton Ave W / Prospect Cemetery,43.69415,-79.4578258,5,6,1
73,5d50213748a35f8c70977b69abac0ef3,Marlee Ave / York Beltline Trail,43.70163,-79.44099,8,20,2
74,6e21dd07c568ac71711f1358b58c7f3c,Bert Robinson Park,43.688028,-79.460265,10,9,2
75,e59ebca743500b50891c5d639a6ef349,Rogers Rd / Prospect Cemetery,43.68323,-79.455765,9,14,3
76,3098e8839fd687446744220b13c1744e,Eglinton Ave W / Ennerdale Rd,43.69466,-79.45377,11,6,1
77,5f06c49f182da959fa0f03e746fc2e4a,Chester Subway Station,43.6784834,-79.3513564,2,31,10
78,8078f553106f543301e06cb4942063c0,Bloor St W / Old Mill Trl,43.6501687,-79.4963345,14,13,4
79,1b853c3b515bbb20d04729c8059f08ee,Wendover Rd / Bloor St W (Green P),43.6492,-79.50602,9,12,3
80,b97fe36c9f29990955a8b64d6be5f602,Luttrell Ave / Danforth Ave,43.6897656,-79.2939525,11,24,2
81,e7b2879f63e9d4253fe62838b99f9b4f,1926 Lake Shore Blvd W,43.6357643,-79.4674917,9,22,11
82,ab463b4b4fbf00bbfbe972989481ed7d,36 Park Lawn Rd,43.6236917,-79.4838132,14,19,8
83,ad95eee599a96b92c9849bfa5044bba0,Howard Park Ave / Parkside Dr,43.648657,-79.458111,1,32,10
84,501cea9e754b07ac8713b850ea9b13f2,Ted Rogers Way / Bloor St E,43.671293,-79.380471,9,50,27
85,b1ab2925abdc520ac548b7e700077bb9,Walter Saunders Park,43.69932707,-79.44936304,12,12,1
86,7c454a73ac552534dbda2c7e18d700f2,Park Lawn Rd / Berry Rd,43.6356059,-79.4934616,11,14,3
87,d98ed5a52cd490b3cc4aa57f11510ecb,Tobermory Dr / Finch Corridor Trail,43.7611741,-79.5114452,12,6,0
88,d18724327840a287a10b260d5b3e0b3a,Driftwood Ave / Finch Corridor Trail,43.7603624,-79.5162777,17,5,0
89,7ef4283f9ce9f067e7127e5431d45f81,Grand Avenue Park,43.62313,-79.4918,17,21,7
90,1c756a37352a017e82b4f3d678d00590,The Pond Rd / Shoreham Dr,43.772445,-79.511912,3,3,0
91,cc1432c52b1e87a738180d369ed1136b,Berkeley St / Adelaide St E - SMART,43.653359,-79.365023,4,50,35
92,a558e5fb7b283d40286ff45d4f2d1d9f,Kingston Rd / Ridgemoor Ave,43.70643614,-79.25104443,1,12,2
93,7598cfd1da04463554587807fee08a3d,Moss Park,43.655972,-79.370638,0,50,41
